Question	Answer	Source	Metadata	SuggestedQuestions
What you know about meditation? How do Sikhs meditate? Do Sikhs medidate in Gurdwara or at home?	A Sikh is to engage in a daily practice of meditation by reciting and chanting of God’s Name. Sikhism instructs that Salvation can only be attained by meditating on One God. Daily recitation also keeps Sikhs focused in life.	Gurdwara Knowledge Base.docx		[]
Can I medidtate at Gurdwara?	"Yes, you can. In fact, it is good."	Gurdwara Knowledge Base.docx		[]
What is Kirat Karni? What is Honest Lifestyle? Tell me about Kirat Karni?	Kirat Karni (Honest Lifestyle) is to live honestly and earn by ones physical and mental effort while accepting God's gifts and blessings. A Sikh should never engage in dishonest means of making money.	Gurdwara Knowledge Base.docx		[]
What does Sikhism say about sharing? I want to know about Vand Chakna? I want to know about Sharing?	Vand Chakna Sharing: The Sikhs are asked to share their wealth within the community and outside by practicing charity (Daan). Sikhism instructs to “Share and consume together”.	Gurdwara Knowledge Base.docx		[]
What is Seva? How can I do Seva? Is Seva necessary at Gurdwara? What is Selfless Service?	"Seva is the duty of every Sikh to engage in Seva whenever there is a possibility. A Sikh can volunteer at Gurdwara Sahib; community centre; senior living centers; care centers, major world disasters, etc. Seva is important to Sikhs because it helps build a better community and also keeps the Sikhs humble by suppressing ego."	Gurdwara Knowledge Base.docx		[]
What are the five vices? What do I need to overcome at Gurdwara?	"A Sikh need to overcome five vices of Lust, Anger, Greed, Emotional Attachment and Ego."	Gurdwara Knowledge Base.docx		[]
What do I need to develop at Gurdwara? What does a Sikh need to develop to be a good Sikh? What is required to be a good Sikh?	"A Sikh need to develop and harness positive human qualities which leads the soul closer to God. These five qualities are: Truth, Compassion, Contentment, Humble, and Love."	Gurdwara Knowledge Base.docx		[]
How many verses do I need to read daily? Why are the five verses important?	Reading five verses from Sikh scriptures everyday keeps one in focus towards God.	Gurdwara Knowledge Base.docx		[]
What are the five articles of faith? I want to know the five articles of faith? Why the five articles of faith are important?	"Wearing five Ks (Five Articles of Faith) Uncut Hair, Comb, Bracelet, Sacred Knife and Sacred Shorts keeps one focused in life."	Gurdwara Knowledge Base.docx		[]
Are Alcohol and drugs allowed at Gurdwara? What does Sikhism say about alcohol and drugs? Would you recommend me to consume Alcohol or Drugs at Gurdwara?	"Alcohol and Drugs: Consuming alcohol, smoke and drugs is an obstruction in meeting God."	Gurdwara Knowledge Base.docx		[]
Can I eat nonveg at Gurdwara? Does Gurdwara provide nonveg food? Can I only eat vegetarian food? I want to eat meat? I want to eat nonvegetarian food? Does this Gurdwara provide nonveg langar to visitors?	A Sikh should eat simple and vegetarian food.	Gurdwara Knowledge Base.docx		[]
Tell me something about Amrit? Tell me something about Baptism. What is Amrit or Baptism?	"Baptism: Knows as Amrit, Baptism is a sacred and important part of Sikh life. A Baptized Sikh lives the lifestyle as described above and remains focused on its way to be One with God."	Gurdwara Knowledge Base.docx		[]
Relate Sikhism with Science? Do Sikhs believe in Science?	"Science: Sikhs beliefs do not contradict with Science. In fact, Scientific findings are confirming Sikh beliefs. In fourteenth century Sikhs Gurus said that there are millions of stars, planets and moon revolving the planets in the Universe, science has been confirming since 19th century."	Gurdwara Knowledge Base.docx		[]
What does Sikhism say about existence? Who made the universe?	Sikhism tells us that this Earth has been going on for billions of years. God created the entire Universe including the Earth and the Earth has been evolving since. Guru Granth Sahib Ji further tells us that this is not the only time God has created the Universe; He has done it many times over and over again.	Gurdwara Knowledge Base.docx		[]
I want to know about afterlife? What do you know about afterlife?	"Sikhism has a belief in reincarnation. Heaven and hell do exist. Your good deeds will be rewarded in heaven and bad deed will be punished in hell, you will take birth again and again until you attain salvation by becoming One with God."	Gurdwara Knowledge Base.docx		[]
What is a purpose of my life? What is the purpose of our lives? Why am I here? Why are we in this universe? Why am I in this universe?	"Sikhism instructs that our life has a purpose and a goal. It offers an opportunity for self and God realization. Moreover, man is responsible for his own actions. He cannot claim immunity from the results of his actions. He must therefore be very vigilant in what he does. The goal of human life to merge with God is accomplished by meditation on God and performance of acts of service and charity. "	Gurdwara Knowledge Base.docx		[]
How can I attain Salvation? How Salvation can be attained?	Salvation can only be attained by meditation of God.	Gurdwara Knowledge Base.docx		[]
What happens after death?	"Sikhs are very strong in their belief of reincarnation. All animals including humans have soul and our soul goes through different life forms until we purify it to become One with God. Just like one change clothes, our soul changes life forms. This very fact has been narrated by God through Sikh Gurus. Nobody has seen what happens after death, so it is very hard for someone to understand happens after death. Sikh Gurus are in communion with God and they tell us that our soul has been separated from God and its dignity remains in merging back with God."	Gurdwara Knowledge Base.docx		[]
What determines the escape?	"The Guru says that only escape from the cycle of death and rebirth is by being an absolute good human being, you must always remember and meditating on God. Our soul after being separated from God has become impure. We have to make it pure enough through meditation so that God can merge us back in Him."	Gurdwara Knowledge Base.docx		[]
Is there a heaven and hell?	"Sikhs believe in reincarnation, heaven and hell. Heaven and hell are not created to live but to reward and punish. Your good deeds will be paid off in heaven, your bad deeds in hell; you will then take birth again until you break the cycle of birth and death and become One with God."	Gurdwara Knowledge Base.docx		[]
What is the purpose of life?	"The purpose of life is to purify yourself, meditate on God and eventually become one with God."	Gurdwara Knowledge Base.docx		[]
How can one attain salvation?	"In order to attain salvation, one must live an honest life and meditate on God. Sikhism shows the way to attain salvation and become One with God. Sikhism instructs that you do not have to fast, abstain, go on renunciation or enter a monastery in order to meet God. All you have to do is have faith, recite the Name of God and remember Him for each possible moment."	Gurdwara Knowledge Base.docx		[]
Did Sikh Gurus get married?	"Sikh Gurus themselves got married and lived a family life and showed everyone that you can meet God while living a family life. Furthermore, Sikh Gurus said that your mind has to be detached from this world, you have to look this world as a temporary place, you will not be here forever, one day you will have to die. What you do while you are alive is critical, so make your decisions wisely. Furthermore, you do not have to detach yourself from this world physically, you can lead a normal family life and still be able to meet God.  \n\nThe life to lead in order to attain salvation is clearly explained by Guru Granth Sahib Ji and translated as follows:"	Gurdwara Knowledge Base.docx		[]
What kind of food should we eat? Is it ok to eat meat?	"Sikhism encourages healthy living by consuming simple and natural food only. Over-eating and eating unhealthy food should be avoided. The concept is not to hurt anything or anyone and live in harmony by sharing with others.  \n\nSimple rationale: If eating meat is not spiritually harmful then both vegetarians and meat eater are not affected but if it is not, then vegetarian are still not affected but the non-vegetarians are."	Gurdwara Knowledge Base.docx		[]
What should I not eat meat? Why Sikhism prohibits to eat meat? Why Sikhs do not eat meat?	"Eating meat acts as a barrier to some extent in meditation and concentration. All kinds of meats, drinking alcohol and doing drugs interfere with meditation. If you want to concentrate and be able to meditate properly, it is better to eat simple food as possible. The mind is so powerful, it takes all your strength and thoughts wander in your mind when you try to meditate. If your food is not simple, it hinders your ability to meditate. That’s why Sikhs are told to have simple and vegetarian food."	Gurdwara Knowledge Base.docx		[]
What does Guru Granth Sahib Ji say about meat?	"The following verses from clearly states whether one should eat meat or not:  \n\n**""Countless are fools, blinded by ignorance. Countless are thieves and embezzlers. Countless impose their will by force. Countless cut-throats and are ruthless killers. Countless are sinners who keep on sinning. Countless are liars, wandering lost in their lives. Countless are wretches, eating filth as their ration""**."	Gurdwara Knowledge Base.docx		[]
What did Guru Nanak Dev Ji say about meat?	"Guru Nanak Dev Ji sheds light on the countless people who keep on sinning. Guru Ji implies that the ones who cuts throats and murder are one of those sinners. Furthermore, Kabeer Ji says, ""You keep your fasts to please Allah, while you murder other beings for pleasure. You look after your own interests, and so not see the interests of others. What good is your word? O Qazi, the One Lord is within you, but you do not think or contemplation on Him. You do not care for others, you are mad about religion, this is why your life is wasting away""."	Gurdwara Knowledge Base.docx		[]
What does Guru Granth Sahib Ji say about killing animals?	"Killing animals for taste has been called unrighteous in Guru Granth Sahib Ji. “You kill living beings, and call it a righteous action. Tell me, brother, what would you call an unrighteous action? You call yourself the excellent sage; then whom would you call a butcher? (Guru Granth Sahib Ji, 1103)."	Gurdwara Knowledge Base.docx		[]
What does Guru Granth Sahib Ji say about sacrifice?	"Kabeer says, to use force is tyranny, even if you call it a religious sacrifice. When your account is called for in the Kingdom of God, what will your condition be then? Kabeer says, the dinner of beans and rice is excellent when flavored with salt. Who would cut throats to have meat with his bread? (Guru Granth Sahib Ji, 1374)."	Gurdwara Knowledge Base.docx		[]
Were Sikh Gurus vegetarian?	"All Sikh Gurus were vegetarian and Gurus taught their disciples to be vegetarian, never to drink alcohol, consume tobacco, do any kind of drugs or cut their hair. Sikh Gurus taught Sikhs to be vegetarian centuries ago and nowadays scientists conduct studies, which show that being vegetarian has a lot of advantages and no harm at all. Even beyond religious views, vegetarian lifestyle is a healthy lifestyle."	Gurdwara Knowledge Base.docx		[]
Will God hate us if we drink or smoke?	Sikhism does not say that God will hate you if you drink or smoke. Sikhism says that drinking and smoking is an obstruction in meditation and meeting God.	Gurdwara Knowledge Base.docx		[]
Why we should not believe in superstitions?	"A real Sikh never believes in superstitions. Sikhism instructs not to believe in good moments, or bad moments, good days or bad days, good numbers or bad numbers. According to Sikhism, all days of the week and all numbers are the same, no one day or a number is better than the other. Many Hindus believe Tuesday to be a sacred day. Hindus that eat meat do not eat meat on Tuesdays. Muslims consider the month of Ramadan sacred. Some Christians consider 666 as a bad number or the number of the devil while 777 as a good number. Sikhism does not endorse any such beliefs."	Gurdwara Knowledge Base.docx		[]
Can I fast at Gurdwara? Do Sikhs Fast?	"Sikhism instructs not to fast, perform animal sacrifice, go on pilgrimages, conduct self torture, or any other similar tasks. The only way to please God and be one with Him is to love Him. One need not perform any rituals or believe in superstitions to receive God’s love."	Gurdwara Knowledge Base.docx		[]
What kind of government does Sikhism promote?	Sikhism promotes democracy and the belief that the welfare of people is best secured by their elected representatives.	Gurdwara Knowledge Base.docx		[]
Do Sikhs believe in equality of all humanity?	"Yes, Sikhs believe that all humans are equal."	Gurdwara Knowledge Base.docx		[]
Is Langar Served in Gurdwara?	"Langar is free food served in all Gurdwara Sahib, which is prepared by a Sikh congregation and then consumed by them and their guests while sitting at the same level on the floor next to each other since there is nothing lower than the floor."	Gurdwara Knowledge Base.docx		[]
Why Do Sikhs have Singh in their names? Why do Sikh women have Kaur in their names? Why every Sikh is Singh? What is the connection of Singh with Sikhs?	"Furthermore, by knowing the last name one could distinguish which caste the person is from, Guru Gobind Singh Ji gave all Sikh men the last name ""Singh"" and all Sikh women the last name ""Kaur"" so that no one can distinguish anyone’s caste. Everyone is considered equal in Sikhism."	Gurdwara Knowledge Base.docx		[]
Do Sikhs believe all humans are equal spiritually too?	Sikhs believe that all humans are equal no matter which religion they are from but people can differ in spirituality.	Gurdwara Knowledge Base.docx		[]
What is the role and status of women in Sikh society?	"In Sikhism men and women are equal. Sikh women have equal status. In Sati system, if the husband of any women dies then the women was to cremate alive with his husband’s body. Guru Amar Das Ji, the third Guru of Sikhs, raised his voice and denounced the Sati system. He made every possible attempt to eliminate the Sati system and achieve equality for women."	Gurdwara Knowledge Base.docx		[]
What is the contribution of Sikhism in the upliftment of women?	"Before Guru Nanak Dev Ji came in this world, the place assigned to Indian woman was low and unenviable. Women were expected only to cook, clean and serve the husband. Women did not have any role in making decisions or express their views.  \n\nIn addition, under the Sati system followed by Hindus, a woman had to burn herself on her husband's funeral pyre to become a Sati. Furthermore, women were considered a burden on family and female infanticide was common."	Gurdwara Knowledge Base.docx		[]
"Why do Sikh men have the last name Singh and all women, have the last name Kaur?"	Singh means a lion and Kaur means a princess. In Sikhism these titles eliminate discrimination based on “family name” (which denotes a specific caste) and reinforces that all humans are sovereigns and equal under God.	Gurdwara Knowledge Base.docx		[]
"Why do some Sikhs still use Gill, Sandhu, Sidhu etc. as their last name?"	"Some Sikhs do not completely follow the teaching for Sikh Gurus. Gurus instructed to use Singh and Kaur as the last name for male and female to eliminate the caste system. Sikhs that use Gill, Sandhu, Sidhu extra as their last name and treat Singh and Kaur as their middle name are much interested in preserving their caste. A real Sikh will only use Singh or Kaur as his or her last name."	Gurdwara Knowledge Base.docx		[]
Why do Sikhs keep hair?	"Hair is a gift from God, therefore no one give it away by cutting it. Hair is one of the five articles of faith for Sikhs. Sikhs live the way God made humans and never cut their hair. For Sikhs hair is the symbol of love for God and the respect for everything He has given us. The way God made us is the most beautiful of all."	Gurdwara Knowledge Base.docx		[]
What is Kesh? What is the importance of keeping uncut hair for Sikhs??	"In Sikhism, Kesh is a practice of allowing one's hair to grow naturally as a symbol of respect for the perfection of God's creation. The practice is one of the Five Ks or Five Articles of Faith. Kesh is a symbol of devotion to God, reminding Sikhs that they should obey the will of God. "	Gurdwara Knowledge Base.docx		[]
Why Sikhs do not cut their hair but they cut their nails?	"It is often argued that Sikhs do not cut their hair so why do they cut their nails. For Sikhs, hair is a part of their lifestyle, nails are not."	Gurdwara Knowledge Base.docx		[]
Which color of turban should I wear? Which color of turban Sikh do not wear?	"Sikhs do not usually wear red or green. The most common colors worn by Sikhs are white, blue and black. The old and/or spiritual people usually wear white. Black and blue are the most common colors worn by the youth. The main purpose of the head covering is to cover the head and the hair. The choice of colors is totally up to the individual."	Gurdwara Knowledge Base.docx		[]
"What is the appropriate head covering for Sikh women? How do Sikh women cover their heads? I am a woman, what should I wear on head in Gurdwara? What headwear do I select in Gurdwara?"	"The most common head covering for Sikh women is the chunni. Sikh women also wear round turban but mostly wear a chunni. The Sikh girl in the picture at right is wearing a white turban covered by a black chunni. Some Sikh women wear both, while some wear either turban or chunni. The choice is up to the individual."	Gurdwara Knowledge Base.docx		[]
"Do Sikhs live a normal life, get married and have children, etc.?"	"Yes, Sikhs live a normal life. Sikhism instructs that you do not have to fast, abstain, go on renunciation or enter a monastery in order to meet God. All you have to do is have faith, recite the Name of God and remember Him for every possible moment. Sikh Gurus themselves got married and lived a family life and showed everyone that you can meet God while living a family life."	Gurdwara Knowledge Base.docx		[]
What kind of lifestyle do Sikhs have?	"Sikh Gurus preached that you do not have to lead a life of seclusion, go on renunciation, fast, or go to pilgrimages in order to please God. You can be one with God while living a family life and carrying-on day to day tasks. Sikh Gurus themselves had children, lead a family life and showed everyone how it can be done. There are two aspects to meet God.\n\n*   First: Spiritual, Love God and Meditate on Him. Salvation can only be attained by meditating on God.\n*   Second: Warrior, Protect yourselves and others right for freedom of religion and freedom of choice. Fight against oppression."	Gurdwara Knowledge Base.docx		[]
What should I keep in mind to be a good Sikh? I want to know about Sikh Lifestyle?	"Some key points of Sikh lifestyle:\n\n*   Keep God in mind all the time.\n*   Pray in the morning and evening.\n*   Wear five Ks (five articles of faith)\n*   Get rid of five vices: lust, anger, greed, emotional attachment, and ego.\n*   Keep diet simple and vegetarian.\n*   Live a simple life, be honest, and do not lie, cheat or steal.\n*   Have a monogamous marriage between a man and a woman.\n*   Not to cut hair and live the way God made us.\n*   Not to drink smoke or do drugs.\n*   Not to fast, perform ritual or go on pilgrimages.\n*   Not to believe in superstitions.\n*   Not to harm your body to please God.\n*   Share with others.\n*   Help the less fortunate.\n*   Protect the weak and the oppressed."	Gurdwara Knowledge Base.docx		[]
Are marriages arranged in the Sikh tradition?	"Culturally, arranged-marriages have been a tradition for Sikhs but Sikhs do not object to non-arranged marriages. Sikhs are free to choose their own life partner and more and more Sikhs presently find their own partner. Sikhism does not specify that marriage should be arranged, rather this practiced is influenced by culture, not religion."	Gurdwara Knowledge Base.docx		[]
How many wives can Sikhs have?	The Sikh marriage is monogamous. A Sikh man can only have one wife and a woman can only have one husband.	Gurdwara Knowledge Base.docx		[]
What is Amrit?	"Amrit means nectar. Amrit is prepared from ground sugar and water. In Sikhism, Amrit, also known as Khande Ki Pohul, means taking the sublime essence of God to purify yourself and live a moral and just lifestyle. Receiving or drinking Amrit means getting baptized in Sikh religion."	Gurdwara Knowledge Base.docx		[]
At what age do Sikhs take Amrit?	There is no formal age for becoming a baptized Sikh. Amrit is a very beautiful practice. It can be carried on any time when a Sikh thinks he or she is ready.	Gurdwara Knowledge Base.docx		[]
What worship and life one has to follow after taking Amrit?	"A Sikh’s life consists of three basic rules: remember God, live honestly, and share with the less fortunate.  \n\nA Sikh must earn an honest living and always conduct honesty and good ethical standards. Sikhs must also remember God. An Amritdhari (Baptized Sikh) achieves the above by living a lifestyle proposed by Sikh Gurus. In addition to living a Sikh lifestyle, the Amritdhari lifestyle also includes recitation of seven daily prayers and wearing five articles of faith. Five prayers are recited in the morning as a reminder of God’s role in life and are meant to be the first thoughts of the day dedicated to God. One prayer is recited in the evening and one is subsequently recited at night to be the last thoughts in ones mind before sleep. In this way, God is constantly a conscious part of a Sikh’s day."	Gurdwara Knowledge Base.docx		[]
Why do I have to recite the same hymn daily?	The basic reason is that the hymns provide guidance to worship God and tells one to live truly and honestly. Reciting the hymns does not let one dwindle and always keeps one focused in his/her goals. Every morning the hymns ring the bell in mind and remind one of his/her duties.	Gurdwara Knowledge Base.docx		[]
what does Sikh mean?	"The word Sikh means student. According to the Sikh Rehit Maryada, a Sikh is defined as “any human being who faithfully believes in One Immortal God; ten Gurus, from Guru Nanak to Guru Gobind Singh; Guru Granth Sahib; the teachings of the ten Gurus and has faith and belief in the Amrit initiation of the tenth Guru; and who does not owe allegiance to any other religion”."	Gurdwara Knowledge Base.docx		[]
what is the Sikh faith?	"The Sikh faith is the fifth largest world religion with over 25 million devotees worldwide. It is a monotheistic religion founded in 1469, by Guru Nanak. It holds as its basic tenets, the equality of mankind, the equality of men and women, and the fundamental equality of all religions. Guru Nanak rejected idolatry and the caste system, and taught that there is a universal, genderless and formless God, who is accessible equally to all, irrespective of their race or religion. Born in the Punjab region of South Asia, Guru Nanak travelled far during his lifetime and taught the principles that have become the core of Sikh belief. Everywhere he travelled, a community of disciples arose, called Sikhs. The term Sikh literally means a student or disciple.  \n\nTowards the end of his life, Guru Nanak nominated a successor to carry on his teachings. This successor, the second Guru of the Sikhs, in his turn nominated a successor towards the end of his life. The evolution of the religion continued in this manner for a period of about 200 years, with a succession of ten living Gurus from 1469 to 1708.  \n\nGuru Nanak and his successors wrote extensively, choosing spiritual poetry set to music as the primary form of disseminating their ideas. The fifth Guru, Guru Arjan, put together the complete set of writings of the Gurus in the form of the Adi Granth. In the Adi Granth, Guru Arjan also included the spiritual verses of individuals from different social, faith and cultural backgrounds, thereby firmly entrenching within Sikh ideology and practice Guru Nanak's philosophy of the universality of humanity."	Gurdwara Knowledge Base.docx		[]
Who is Amritdhari?	"A Sikh who has undergone the Amrit ceremony is called an Amritdhari Sikh. Both men and women are inducted similarly through this ceremony. Once inducted, an Amritdhari Sikh also adopts Five Articles of Faith."	Gurdwara Knowledge Base.docx		[]
where do Sikhs come from?	"The Sikh faith was founded by Guru Nanak in 1469 in Punjab. Punjab is located in South Asia and is currently divided between India and Pakistan. Although most Sikhs have their roots in South Asia, and Punjab specifically, there are Sikhs of diverse backgrounds and nationalities. It should be noted that Guru Nanak himself travelled across the world from China to the Middle East teaching his message of the universality of One God and the unity of humanity."	Gurdwara Knowledge Base.docx		[]
what do Sikhs believe?	"Sikhs believe in One God who is the creator of the universe and resides within creation. The purpose of human life is unite the soul with God during one’s lifetime. This is possible through accepting the teachings of the Guru and following the “three golden rules,” namely, meditation on God’s name (nam japna), earning an honest living (kirat karna), and sharing one’s earnings with others (vand shakna)."	Gurdwara Knowledge Base.docx		[]
what is the Sri Guru Granth Sahib?	"Sri Guru Granth Sahib is the Sikh scripture containing the compositions of the Sikh Gurus and other saints and poets of diverse social, caste and faith backgrounds who united with God. The verses or bani are considered by Sikhs to be the divinely inspired word of God. The compositions of Sri Guru Granth Sahib are written in traditional musical measures or raags. The verses and hymns of Sri Guru Granth Sahib are reflections upon God and also establish moral guidelines for spiritual development and union with God. Sri Guru Granth Sahib is composed in 31 raags or traditional musical measures and spans 1430 pages, known as angs or limbs."	Gurdwara Knowledge Base.docx		[]
what is the Sikh language?	"Most Sikhs speak Punjabi and Sri Guru Granth Sahib is written in the Gurmukhi script. That having been said, the languages in Sri Guru Granth Sahib include Persian, Hindi, Braj and others."	Gurdwara Knowledge Base.docx		[]
what are the rules Sikhs follow?	"Sikhs follow the Rehit Maryada or Sikh code of conduct. The Rehit Maryada establishes guidelines for a spiritual lifestyle. This includes rising daily before sunrise for meditation and prayer and also giving one tenth of one’s income back to the community. In addition to basic rules of morality shared by people of all faiths, initiated Sikhs cannot cut or remove the hair on their body, use intoxicants such as tobacco or liquor, etc., eat meat or engage in extra-marital sexual relations."	Gurdwara Knowledge Base.docx		[]
what is the gurdwara and langar?	"The Sikh place of worship is called the gurdwara or “door to the guru” and serves as the most important Sikh institution. Gurdwaras are open to all people regardless of gender, faith or culture. Sri Guru Granth Sahib is installed in each Gurdwara and the congregation engages in the contemplation and singing of verses along with discourses on Sikh history and spirituality. Each gurdwara contains a langar or free community kitchen where all persons are welcome to share a free vegetarian meal."	Gurdwara Knowledge Base.docx		[]
what are the Sikh articles of faith?	Sikhs who are initiated into the Khalsa commit to follow the rehit maryada or Sikh code of conduct. This includes a daily discipline of meditation and prayer and also wearing the five Sikh articles of faith or kakaars at all times.	Gurdwara Knowledge Base.docx		[]
What is Kesh?	Kesh is unshorn hair symbolizing acceptance of God’s will; the hair must be kept covered at all times with a keski or dastaar (turban or head-covering) representing spiritual wisdom;	Gurdwara Knowledge Base.docx		[]
What is Kangha?	Kangha is a wooden comb representing self-discipline; worn in the hair and used to keep it neat and tidy.	Gurdwara Knowledge Base.docx		[]
What is Kara?	Kara is an iron or steel bracelet worn on the wrist; the circle signifies the oneness and eternity of God and to use one’s hands for the benefit of humanity;	Gurdwara Knowledge Base.docx		[]
What is Kachhera?	Kachhera is cotton undergarment representing high moral character and restraint.	Gurdwara Knowledge Base.docx		[]
What is Kirpan?	"Kirpan is a stylized representation of a sword, which must be worn sheathed, re strained in a cloth belt, and next to the body; the kirpan signifies the duty of a Sikh to stand up against injustice. Most kirpans range in size from 6 to 9 inches in length."	Gurdwara Knowledge Base.docx		[]
Do Sikhs ever remove their articles of faith?	"The articles of faith are considered sacred and a part of the body. They remain on the person at all times. At home and while sleeping, most Sikhs wear a smaller turban."	Gurdwara Knowledge Base.docx		[]
what is the significance of the turban’s color and style?	"None necessarily. Although traditionally Sikh turbans are white, black, blue and yellow/ orange, many Sikhs wear other colors and shades to suit their personal preferences. It is a personal choice. There are several styles of Sikh turbans and these too are chosen as a personal preference."	Gurdwara Knowledge Base.docx		[]
what is the kirpan?	"The kirpan is often described as a dagger or a miniature sword, which is what it resembles, but that description is so far removed from the purpose of a kirpan as to make it misleading. The kirpan is an article of faith that plays a role in the Sikh religion that is similar to that of a Christian cross, a Jewish Star of David, or a Muslim hijab, with one crucial exception: it is not optional."	Gurdwara Knowledge Base.docx		[]
